iso3,country,profile,profile_probability,n_bootstrap,coverage_count,missing_count,missing_rate
NOR,Norway,effective converters,1.0,1000,106,0,0.0
NOR,Norway,capacity under-realizers,0.0,1000,106,0,0.0
NOR,Norway,adaptive over-performers,0.0,1000,106,0,0.0
NOR,Norway,structurally vulnerable systems,0.0,1000,106,0,0.0
NOR,Norway,uncertain / data-limited systems,0.0,1000,106,0,0.0
DEU,Germany,effective converters,0.998,1000,106,0,0.0
DEU,Germany,capacity under-realizers,0.002,1000,106,0,0.0
DEU,Germany,adaptive over-performers,0.0,1000,106,0,0.0
DEU,Germany,structurally vulnerable systems,0.0,1000,106,0,0.0
DEU,Germany,uncertain / data-limited systems,0.0,1000,106,0,0.0
SWE,Sweden,effective converters,1.0,1000,106,0,0.0
SWE,Sweden,capacity under-realizers,0.0,1000,106,0,0.0
SWE,Sweden,adaptive over-performers,0.0,1000,106,0,0.0
SWE,Sweden,structurally vulnerable systems,0.0,1000,106,0,0.0
SWE,Sweden,uncertain / data-limited systems,0.0,1000,106,0,0.0
JPN,Japan,effective converters,1.0,1000,106,0,0.0
JPN,Japan,capacity under-realizers,0.0,1000,106,0,0.0
JPN,Japan,adaptive over-performers,0.0,1000,106,0,0.0
JPN,Japan,structurally vulnerable systems,0.0,1000,106,0,0.0
JPN,Japan,uncertain / data-limited systems,0.0,1000,106,0,0.0
FRA,France,effective converters,1.0,1000,106,0,0.0
FRA,France,capacity under-realizers,0.0,1000,106,0,0.0
FRA,France,adaptive over-performers,0.0,1000,106,0,0.0
FRA,France,structurally vulnerable systems,0.0,1000,106,0,0.0
FRA,France,uncertain / data-limited systems,0.0,1000,106,0,0.0
AUS,Australia,effective converters,0.982,1000,106,0,0.0
AUS,Australia,capacity under-realizers,0.018,1000,106,0,0.0
AUS,Australia,adaptive over-performers,0.0,1000,106,0,0.0
AUS,Australia,structurally vulnerable systems,0.0,1000,106,0,0.0
AUS,Australia,uncertain / data-limited systems,0.0,1000,106,0,0.0
DNK,Denmark,effective converters,1.0,1000,106,0,0.0
DNK,Denmark,capacity under-realizers,0.0,1000,106,0,0.0
DNK,Denmark,adaptive over-performers,0.0,1000,106,0,0.0
DNK,Denmark,structurally vulnerable systems,0.0,1000,106,0,0.0
DNK,Denmark,uncertain / data-limited systems,0.0,1000,106,0,0.0
BEL,Belgium,effective converters,0.963,1000,106,0,0.0
BEL,Belgium,capacity under-realizers,0.037,1000,106,0,0.0
BEL,Belgium,adaptive over-performers,0.0,1000,106,0,0.0
BEL,Belgium,structurally vulnerable systems,0.0,1000,106,0,0.0
BEL,Belgium,uncertain / data-limited systems,0.0,1000,106,0,0.0
AUT,Austria,effective converters,0.0,1000,106,0,0.0
AUT,Austria,capacity under-realizers,1.0,1000,106,0,0.0
AUT,Austria,adaptive over-performers,0.0,1000,106,0,0.0
AUT,Austria,structurally vulnerable systems,0.0,1000,106,0,0.0
AUT,Austria,uncertain / data-limited systems,0.0,1000,106,0,0.0
ISL,Iceland,effective converters,1.0,1000,106,0,0.0
ISL,Iceland,capacity under-realizers,0.0,1000,106,0,0.0
ISL,Iceland,adaptive over-performers,0.0,1000,106,0,0.0
ISL,Iceland,structurally vulnerable systems,0.0,1000,106,0,0.0
ISL,Iceland,uncertain / data-limited systems,0.0,1000,106,0,0.0
FIN,Finland,effective converters,1.0,1000,106,0,0.0
FIN,Finland,capacity under-realizers,0.0,1000,106,0,0.0
FIN,Finland,adaptive over-performers,0.0,1000,106,0,0.0
FIN,Finland,structurally vulnerable systems,0.0,1000,106,0,0.0
FIN,Finland,uncertain / data-limited systems,0.0,1000,106,0,0.0
LUX,Luxembourg,effective converters,1.0,1000,106,0,0.0
LUX,Luxembourg,capacity under-realizers,0.0,1000,106,0,0.0
LUX,Luxembourg,adaptive over-performers,0.0,1000,106,0,0.0
LUX,Luxembourg,structurally vulnerable systems,0.0,1000,106,0,0.0
LUX,Luxembourg,uncertain / data-limited systems,0.0,1000,106,0,0.0
CZE,Czechia,effective converters,0.0,1000,106,0,0.0
CZE,Czechia,capacity under-realizers,1.0,1000,106,0,0.0
CZE,Czechia,adaptive over-performers,0.0,1000,106,0,0.0
CZE,Czechia,structurally vulnerable systems,0.0,1000,106,0,0.0
CZE,Czechia,uncertain / data-limited systems,0.0,1000,106,0,0.0
USA,United States,effective converters,0.0,1000,106,0,0.0
USA,United States,capacity under-realizers,1.0,1000,106,0,0.0
USA,United States,adaptive over-performers,0.0,1000,106,0,0.0
USA,United States,structurally vulnerable systems,0.0,1000,106,0,0.0
USA,United States,uncertain / data-limited systems,0.0,1000,106,0,0.0
SVN,Slovenia,effective converters,0.0,1000,106,0,0.0
SVN,Slovenia,capacity under-realizers,1.0,1000,106,0,0.0
SVN,Slovenia,adaptive over-performers,0.0,1000,106,0,0.0
SVN,Slovenia,structurally vulnerable systems,0.0,1000,106,0,0.0
SVN,Slovenia,uncertain / data-limited systems,0.0,1000,106,0,0.0
NZL,New Zealand,effective converters,1.0,1000,106,0,0.0
NZL,New Zealand,capacity under-realizers,0.0,1000,106,0,0.0
NZL,New Zealand,adaptive over-performers,0.0,1000,106,0,0.0
NZL,New Zealand,structurally vulnerable systems,0.0,1000,106,0,0.0
NZL,New Zealand,uncertain / data-limited systems,0.0,1000,106,0,0.0
CHE,Switzerland,effective converters,0.977,1000,106,0,0.0
CHE,Switzerland,capacity under-realizers,0.023,1000,106,0,0.0
CHE,Switzerland,adaptive over-performers,0.0,1000,106,0,0.0
CHE,Switzerland,structurally vulnerable systems,0.0,1000,106,0,0.0
CHE,Switzerland,uncertain / data-limited systems,0.0,1000,106,0,0.0
IRL,Ireland,effective converters,0.745,1000,106,0,0.0
IRL,Ireland,capacity under-realizers,0.255,1000,106,0,0.0
IRL,Ireland,adaptive over-performers,0.0,1000,106,0,0.0
IRL,Ireland,structurally vulnerable systems,0.0,1000,106,0,0.0
IRL,Ireland,uncertain / data-limited systems,0.0,1000,106,0,0.0
CAN,Canada,effective converters,0.99,1000,106,0,0.0
CAN,Canada,capacity under-realizers,0.01,1000,106,0,0.0
CAN,Canada,adaptive over-performers,0.0,1000,106,0,0.0
CAN,Canada,structurally vulnerable systems,0.0,1000,106,0,0.0
CAN,Canada,uncertain / data-limited systems,0.0,1000,106,0,0.0
NLD,Netherlands,effective converters,0.997,1000,106,0,0.0
NLD,Netherlands,capacity under-realizers,0.003,1000,106,0,0.0
NLD,Netherlands,adaptive over-performers,0.0,1000,106,0,0.0
NLD,Netherlands,structurally vulnerable systems,0.0,1000,106,0,0.0
NLD,Netherlands,uncertain / data-limited systems,0.0,1000,106,0,0.0
MDV,Maldives,effective converters,0.025,1000,106,0,0.0
MDV,Maldives,capacity under-realizers,0.975,1000,106,0,0.0
MDV,Maldives,adaptive over-performers,0.0,1000,106,0,0.0
MDV,Maldives,structurally vulnerable systems,0.0,1000,106,0,0.0
MDV,Maldives,uncertain / data-limited systems,0.0,1000,106,0,0.0
GBR,United Kingdom,effective converters,0.0,1000,106,0,0.0
GBR,United Kingdom,capacity under-realizers,1.0,1000,106,0,0.0
GBR,United Kingdom,adaptive over-performers,0.0,1000,106,0,0.0
GBR,United Kingdom,structurally vulnerable systems,0.0,1000,106,0,0.0
GBR,United Kingdom,uncertain / data-limited systems,0.0,1000,106,0,0.0
ESP,Spain,effective converters,0.0,1000,106,0,0.0
ESP,Spain,capacity under-realizers,1.0,1000,106,0,0.0
ESP,Spain,adaptive over-performers,0.0,1000,106,0,0.0
ESP,Spain,structurally vulnerable systems,0.0,1000,106,0,0.0
ESP,Spain,uncertain / data-limited systems,0.0,1000,106,0,0.0
SVK,Slovak Republic,effective converters,0.0,1000,106,0,0.0
SVK,Slovak Republic,capacity under-realizers,1.0,1000,106,0,0.0
SVK,Slovak Republic,adaptive over-performers,0.0,1000,106,0,0.0
SVK,Slovak Republic,structurally vulnerable systems,0.0,1000,106,0,0.0
SVK,Slovak Republic,uncertain / data-limited systems,0.0,1000,106,0,0.0
PRT,Portugal,effective converters,0.0,1000,106,0,0.0
PRT,Portugal,capacity under-realizers,1.0,1000,106,0,0.0
PRT,Portugal,adaptive over-performers,0.0,1000,106,0,0.0
PRT,Portugal,structurally vulnerable systems,0.0,1000,106,0,0.0
PRT,Portugal,uncertain / data-limited systems,0.0,1000,106,0,0.0
HRV,Croatia,effective converters,0.0,1000,106,0,0.0
