iso3,country,region,income_group,conversion_profile,profile_rule,potential_capacity_score,observed_shock_burden,predicted_shock_burden,realized_resilience_gap,conversion_efficiency_zscore,conversion_efficiency_percentile,capacity_score,preparedness_score,vulnerability_score,equity_access_score,method_disagreement_index,expanded_feature_missing_rate,n_validation_countries,profile_n,profile_missing_rate_mean
MNG,Mongolia,East Asia & Pacific,Upper middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6032546228987976,211.21863,4120.190967719567,-3908.9723377195673,2.432192655157404,0.7641509433962265,0.4314765764284001,0.7677104522967445,0.5775556570056546,0.6362758058643913,0.2138020833333333,0.0,106,20,0.01730769230769229
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6480007768591318,753.09076,3357.5152904910974,-2604.4245304910974,1.6204929753142339,0.5754716981132075,0.3694577590601324,0.8834736436967887,0.5989970298532373,0.740074674826369,0.0578124999999999,0.0,106,20,0.01730769230769229
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.4386367228883814,1225.8562,3815.9162596472643,-2590.060059647264,1.6115552910680526,0.5566037735849056,0.3412299256898816,0.3221436883899233,0.4837600851556433,0.6074131923180774,0.2,0.0384615384615384,106,20,0.01730769230769229
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.5691724008936305,907.20123,3329.837518104242,-2422.636288104242,1.5073829326411707,0.5471698113207547,0.1833018379392382,0.7568322344837783,0.6245700681687736,0.7119854629827318,0.0833333333333333,0.0,106,20,0.01730769230769229
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6701417723839488,1232.5092,3513.4819577366884,-2280.9727577366884,1.4192387944136184,0.48113207547169806,0.3606948551024671,0.9521916893872016,0.5932353937819079,0.7744451512642184,0.17734375,0.0769230769230769,106,20,0.01730769230769229
BRB,Barbados,Latin America & Caribbean ,High income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6579409859020005,1115.5847,2970.173280064269,-1854.5885800642689,1.153939279448213,0.2735849056603774,0.4376839484267321,0.8694472408349976,0.5981394797313992,0.7264932746148729,0.2169270833333332,0.0,106,20,0.01730769230769229
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6686025330658762,1438.2266,3040.913598548166,-1602.6869985481662,0.9972041778784173,0.20754716981132076,0.4119113055278265,0.9405649421131524,0.6146409081395038,0.7072929764830225,0.1669270833333333,0.0384615384615384,106,20,0.01730769230769229
FJI,Fiji,East Asia & Pacific,Upper middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6178667108182544,2112.3386,3713.7046679833056,-1601.3660679833056,0.9963822847207642,0.3018867924528301,0.1718859030867164,0.9193966862730744,0.553064783244404,0.8271194706688227,0.17734375,0.0,106,20,0.01730769230769229
TJK,Tajikistan,Europe & Central Asia,Lower middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6357559129066745,1522.2467,2925.5015212413914,-1403.2548212413915,0.8731159431863904,0.11320754716981135,0.3499546768118913,0.9214354407742822,0.6826989523373221,0.5889345817032028,0.2218749999999999,0.0,106,20,0.01730769230769229
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6056459361798809,1312.6262,2478.3507868367083,-1165.7245868367083,0.7253228043293579,0.05660377358490565,0.1748414442188375,0.8907404525592983,0.6685434249570065,0.6884584229843812,0.1200520833333333,0.0,106,20,0.01730769230769229
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6236573755955415,2040.6863,3130.6037995752968,-1089.9174995752967,0.6781550515502107,0.15094339622641506,0.2282760912104227,0.8809742637247908,0.6509635969585903,0.7344155504883616,0.1984374999999999,0.0,106,20,0.01730769230769229
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6501454007497245,2132.5605,3144.567183680011,-1012.0066836800111,0.6296783426338252,0.13207547169811318,0.3317152029949079,0.8719689879667554,0.6767504291276911,0.7201469829095438,0.21484375,0.0,106,20,0.01730769230769229
MYS,Malaysia,East Asia & Pacific,Upper middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6456944397265684,1283.0078,2264.770533286546,-981.7627332865461,0.6108603240717282,0.009433962264150941,0.2291338827416733,0.9145985435053348,0.7111663135976891,0.7278790190615761,0.1822916666666666,0.0384615384615384,106,20,0.01730769230769229
CYP,Cyprus,Europe & Central Asia,High income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6867041272209746,1689.024,2622.0508564244697,-933.0268564244698,0.5805364866265778,-0.009433962264150941,0.4030870152886168,0.9172025269884388,0.8157477202878922,0.6107792463189511,0.1627604166666666,0.0769230769230769,106,20,0.01730769230769229
SUR,Suriname,Latin America & Caribbean ,Upper middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.5820331620334881,3481.618,4238.093177757436,-756.4751777574361,0.4706846741780459,0.16981132075471705,0.3039261044589958,0.6108436046278103,0.6270112389349571,0.7863517001121891,0.078125,0.0,106,20,0.01730769230769229
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6587017614512714,922.9372,1573.9010525240276,-650.9638525240276,0.40503471605674324,0.018867924528301883,0.3176807706933734,0.9877450980392156,0.6045379500737209,0.7248432269987758,0.15625,0.0384615384615384,106,20,0.01730769230769229
