variable,source,source_code,conceptual_dimension,use_as_feature,n_countries,n_missing,missing_rate,years_configured
physicians_per_1000,World Bank,SH.MED.PHYS.ZS,service_capacity,True,184,33,0.15207373271889402,"2015,2016,2017,2018,2019"
nurses_midwives_per_1000,World Bank,SH.MED.NUMW.P3,service_capacity,True,193,24,0.11059907834101383,"2015,2016,2017,2018,2019"
hospital_beds_per_1000,World Bank,SH.MED.BEDS.ZS,service_capacity,True,156,61,0.28110599078341014,"2015,2016,2017,2018,2019"
current_health_expenditure_per_capita_ppp,World Bank,SH.XPD.CHEX.PP.CD,health_financing,True,193,24,0.11059907834101383,"2015,2016,2017,2018,2019"
domestic_gov_health_expenditure_gdp,World Bank,SH.XPD.GHED.GD.ZS,health_financing,True,193,24,0.11059907834101383,"2015,2016,2017,2018,2019"
out_of_pocket_expenditure_share,World Bank,SH.XPD.OOPC.CH.ZS,equity_financial_protection,True,193,24,0.11059907834101383,"2015,2016,2017,2018,2019"
uhc_service_coverage_index,World Bank,SH_UHC_SCI,service_coverage,True,193,24,0.11059907834101383,"2015,2016,2017,2018,2019"
measles_immunization_coverage,World Bank,SH.IMM.MEAS,service_coverage,True,193,24,0.11059907834101383,"2015,2016,2017,2018,2019"
dpt_immunization_coverage,World Bank,SH.IMM.IDPT,service_coverage,True,193,24,0.11059907834101383,"2015,2016,2017,2018,2019"
age65_share,World Bank,SP.POP.65UP.TO.ZS,population_vulnerability,True,217,0,0.0,"2015,2016,2017,2018,2019"
population_density,World Bank,EN.POP.DNST,population_vulnerability,True,216,1,0.004608294930875576,"2015,2016,2017,2018,2019"
life_expectancy,World Bank,SP.DYN.LE00.IN,baseline_health_status,True,217,0,0.0,"2015,2016,2017,2018,2019"
under5_mortality,World Bank,SH.DYN.MORT,baseline_health_status,True,196,21,0.0967741935483871,"2015,2016,2017,2018,2019"
adult_mortality_female,World Bank,SP.DYN.AMRT.FE,baseline_health_status,True,217,0,0.0,"2015,2016,2017,2018,2019"
adult_mortality_male,World Bank,SP.DYN.AMRT.MA,baseline_health_status,True,217,0,0.0,"2015,2016,2017,2018,2019"
gdp_per_capita_ppp,World Bank,NY.GDP.PCAP.PP.KD,context_control,False,199,18,0.08294930875576037,"2015,2016,2017,2018,2019"
