variable,label,source,source_code,block,conceptual_dimension,direction,years_used,actionable,counterfactual_allowed,use_as_feature,api_validated,api_validation_note,n_countries,n_total_countries,missing_count,missing_rate,use_as_feature_in_expanded_score,expected_sparse
physicians_per_1000,"Physicians per 1,000 people",World Bank,SH.MED.PHYS.ZS,capacity,service_capacity,beneficial,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,184,217,33,0.15207373271889402,True,
nurses_midwives_per_1000,"Nurses and midwives per 1,000 people",World Bank,SH.MED.NUMW.P3,capacity,service_capacity,beneficial,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,193,217,24,0.11059907834101379,True,
hospital_beds_per_1000,"Hospital beds per 1,000 people",World Bank,SH.MED.BEDS.ZS,capacity,service_capacity,beneficial,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,187,217,30,0.13824884792626724,True,
current_health_expenditure_per_capita_ppp,"Current health expenditure per capita, PPP",World Bank,SH.XPD.CHEX.PP.CD,capacity,health_financing,beneficial,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,237,217,-20,-0.09216589861751157,True,
current_health_expenditure_gdp,Current health expenditure as percent of GDP,World Bank,SH.XPD.CHEX.GD.ZS,capacity,health_financing,beneficial,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,237,217,-20,-0.09216589861751157,True,
domestic_gov_health_expenditure_gdp,Domestic general government health expenditure as percent of GDP,World Bank,SH.XPD.GHED.GD.ZS,capacity,health_financing,beneficial,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,237,217,-20,-0.09216589861751157,True,
measles_immunization_coverage,"Immunization, measles percent of children ages 12-23 months",World Bank,SH.IMM.MEAS,preparedness,preparedness_proxy,beneficial,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,237,217,-20,-0.09216589861751157,True,
dpt_immunization_coverage,"Immunization, DPT percent of children ages 12-23 months",World Bank,SH.IMM.IDPT,preparedness,preparedness_proxy,beneficial,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,237,217,-20,-0.09216589861751157,True,
tuberculosis_incidence,"Incidence of tuberculosis per 100,000 people",World Bank,SH.TBS.INCD,preparedness,infectious_disease_control_proxy,cost,"2015,2016,2017,2018,2019",True,False,True,True,valid_local_archive,223,217,-6,-0.02764976958525356,True,
hiv_prevalence,HIV prevalence percent of population ages 15-49,World Bank,SH.DYN.AIDS.ZS,preparedness,infectious_disease_control_proxy,cost,"2015,2016,2017,2018,2019",False,False,True,True,valid_local_archive,178,217,39,0.17972350230414746,True,
age65_share,"Population ages 65 and above, percent of total",World Bank,SP.POP.65UP.TO.ZS,vulnerability,demographic_vulnerability,cost,"2015,2016,2017,2018,2019",False,False,True,True,valid_local_archive,261,217,-44,-0.20276497695852536,True,
population_density,"Population density, people per sq. km of land area",World Bank,EN.POP.DNST,vulnerability,demographic_vulnerability,cost,"2015,2016,2017,2018,2019",False,False,True,True,valid_local_archive,260,217,-43,-0.1981566820276497,True,
urban_population_share,Urban population percent of total,World Bank,SP.URB.TOTL.IN.ZS,vulnerability,demographic_vulnerability,cost,"2015,2016,2017,2018,2019",False,False,True,True,valid_local_archive,261,217,-44,-0.20276497695852536,True,
ncd_mortality_risk,"Mortality from CVD, cancer, diabetes or CRD between ages 30 and 70",World Bank,SH.DYN.NCOM.ZS,vulnerability,ncd_burden_proxy,cost,"2015,2016,2017,2018,2019",False,False,True,True,valid_local_archive,229,217,-12,-0.055299539170506895,True,
air_pollution_pm25,PM2.5 air pollution mean annual exposure,World Bank,EN.ATM.PM25.MC.M3,vulnerability,environmental_vulnerability,cost,"2015,2016,2017,2018,2019",False,False,True,True,valid_local_archive,244,217,-27,-0.12442396313364057,True,
life_expectancy,"Life expectancy at birth, total",World Bank,SP.DYN.LE00.IN,vulnerability,baseline_health_status,beneficial,"2015,2016,2017,2018,2019",False,False,True,True,valid_local_archive,261,217,-44,-0.20276497695852536,True,
under5_mortality,"Mortality rate, under-5, per 1,000 live births",World Bank,SH.DYN.MORT,vulnerability,baseline_health_status,cost,"2015,2016,2017,2018,2019",False,False,True,True,valid_local_archive,240,217,-23,-0.10599078341013835,True,
adult_mortality_female,"Adult mortality rate, female, per 1,000 female adults",World Bank,SP.DYN.AMRT.FE,vulnerability,baseline_health_status,cost,"2015,2016,2017,2018,2019",False,False,True,True,valid_local_archive,261,217,-44,-0.20276497695852536,True,
adult_mortality_male,"Adult mortality rate, male, per 1,000 male adults",World Bank,SP.DYN.AMRT.MA,vulnerability,baseline_health_status,cost,"2015,2016,2017,2018,2019",False,False,True,True,valid_local_archive,261,217,-44,-0.20276497695852536,True,
uhc_service_coverage_index,UHC service coverage index,World Bank,SH_UHC_SCI,equity_access,service_coverage,beneficial,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,237,217,-20,-0.09216589861751157,True,
domestic_gov_health_expenditure_share,Domestic general government health expenditure as percent of current health expenditure,World Bank,SH.XPD.GHED.CH.ZS,equity_access,financial_protection,beneficial,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,237,217,-20,-0.09216589861751157,True,
out_of_pocket_expenditure_share,Out-of-pocket expenditure as percent of current health expenditure,World Bank,SH.XPD.OOPC.CH.ZS,equity_access,financial_protection,cost,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,237,217,-20,-0.09216589861751157,True,
out_of_pocket_expenditure_per_capita_ppp,"Out-of-pocket expenditure per capita, PPP",World Bank,SH.XPD.OOPC.PP.CD,equity_access,financial_protection,cost,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,237,217,-20,-0.09216589861751157,True,
basic_sanitation_access,People using at least basic sanitation services,World Bank,SH.STA.BASS.ZS,equity_access,basic_service_access,beneficial,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,258,217,-41,-0.18894009216589858,True,
basic_drinking_water_access,People using at least basic drinking water services,World Bank,SH.H2O.BASW.ZS,equity_access,basic_service_access,beneficial,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,258,217,-41,-0.18894009216589858,True,
basic_handwashing_access,People with basic handwashing facilities including soap and water,World Bank,SH.STA.HYGN.ZS,equity_access,basic_service_access,beneficial,"2015,2016,2017,2018,2019",True,True,True,True,valid_local_archive,149,217,68,0.31336405529953915,True,
diabetes_prevalence,Diabetes prevalence percent of population ages 20 to 79,World Bank,SH.STA.DIAB.ZS,vulnerability,ncd_burden_proxy,cost,"2015,2016,2017,2018,2019",False,False,True,True,skipped_sparse_coverage_0.000,0,217,217,1.0,False,True
gdp_per_capita_ppp,"GDP per capita, PPP, constant international dollars",World Bank,NY.GDP.PCAP.PP.KD,context_control,context_control,beneficial,"2015,2016,2017,2018,2019",False,False,False,True,context_control_not_scored,243,217,-26,-0.1198156682027649,False,
population_total,"Population, total",World Bank,SP.POP.TOTL,context_control,context_control,beneficial,"2015,2016,2017,2018,2019",False,False,False,True,context_control_not_scored,261,217,-44,-0.20276497695852536,False,
