iso3,country,model_version,observed_shock_burden,predicted_shock_burden,residual_observed_minus_expected,n_model_sample,n_candidate_validation_countries,missing_count_due_to_model_covariates,missing_rate_due_to_model_covariates,cv_rmse,prediction_interval_low,prediction_interval_high
NOR,Norway,linear,1072.0009,2257.5176282300326,-1185.5167282300326,106,108,2,0.01851851851851849,1762.1407668753022,,
DEU,Germany,linear,2179.8662,2985.53843030387,-805.67223030387,106,108,2,0.01851851851851849,1762.1407668753022,,
SWE,Sweden,linear,1389.8391,2958.878953073965,-1569.039853073965,106,108,2,0.01851851851851849,1762.1407668753022,,
JPN,Japan,linear,859.7607,1709.3158710982946,-849.5551710982945,106,108,2,0.01851851851851849,1762.1407668753022,,
FRA,France,linear,1838.9587,2874.82659111654,-1035.86789111654,106,108,2,0.01851851851851849,1762.1407668753022,,
AUS,Australia,linear,927.5937,233.94253322164366,693.6511667783564,106,108,2,0.01851851851851849,1762.1407668753022,,
DNK,Denmark,linear,674.96173,2878.0554275371387,-2203.0936975371387,106,108,2,0.01851851851851849,1762.1407668753022,,
BEL,Belgium,linear,2334.5127,2807.811314228288,-473.298614228288,106,108,2,0.01851851851851849,1762.1407668753022,,
AUT,Austria,linear,2567.4924,2659.6877517274083,-92.19535172740825,106,108,2,0.01851851851851849,1762.1407668753022,,
ISL,Iceland,linear,1134.6113,2644.388728872119,-1509.777428872119,106,108,2,0.01851851851851849,1762.1407668753022,,
FIN,Finland,linear,1876.0293,3640.338984309917,-1764.3096843099172,106,108,2,0.01851851851851849,1762.1407668753022,,
LUX,Luxembourg,linear,-259.57343,1733.7830358150554,-1993.3564658150553,106,108,2,0.01851851851851849,1762.1407668753022,,
CZE,Czechia,linear,4400.776,3361.203003309422,1039.5729966905778,106,108,2,0.01851851851851849,1762.1407668753022,,
USA,United States,linear,3758.817,2286.0430933864886,1472.7739066135114,106,108,2,0.01851851851851849,1762.1407668753022,,
SVN,Slovenia,linear,2868.0425,3088.3923739457578,-220.34987394575774,106,108,2,0.01851851851851849,1762.1407668753022,,
NZL,New Zealand,linear,-91.14247,211.55329211112985,-302.69576211112985,106,108,2,0.01851851851851849,1762.1407668753022,,
CHE,Switzerland,linear,2020.4288,2673.451640487881,-653.022840487881,106,108,2,0.01851851851851849,1762.1407668753022,,
IRL,Ireland,linear,1580.8341,1830.3775299749323,-249.54342997493222,106,108,2,0.01851851851851849,1762.1407668753022,,
CAN,Canada,linear,1420.5111,2893.2850066135047,-1472.7739066135048,106,108,2,0.01851851851851849,1762.1407668753022,,
NLD,Netherlands,linear,2329.8596,3151.5622090506113,-821.7026090506115,106,108,2,0.01851851851851849,1762.1407668753022,,
MDV,Maldives,linear,1109.1743,-219.48666088999153,1328.6609608899914,106,108,2,0.01851851851851849,1762.1407668753022,,
GBR,United Kingdom,linear,2703.8333,3156.861036122458,-453.027736122458,106,108,2,0.01851851851851849,1762.1407668753022,,
ESP,Spain,linear,2906.9697,3367.2814906383783,-460.31179063837817,106,108,2,0.01851851851851849,1762.1407668753022,,
SVK,Slovak Republic,linear,5343.659,3112.40141095554,2231.2575890444596,106,108,2,0.01851851851851849,1762.1407668753022,,
PRT,Portugal,linear,2965.186,3859.445598601499,-894.259598601499,106,108,2,0.01851851851851849,1762.1407668753022,,
