scenario,iso3,country,n,coverage_count,missing_count_from_full_validation,missing_rate_from_full_validation,baseline_conversion_efficiency,conversion_efficiency_zscore,efficiency_delta_vs_baseline,baseline_profile,conversion_profile,profile_stable
leave_region_out::East Asia & Pacific,NOR,Norway,95,95,11,0.10377358490566035,0.8819371421389405,0.9382056479249926,0.056268505786052136,effective converters,effective converters,True
leave_region_out::East Asia & Pacific,DEU,Germany,95,95,11,0.10377358490566035,0.615078253921651,0.5998597858409256,-0.015218468080725467,effective converters,effective converters,True
leave_region_out::East Asia & Pacific,SWE,Sweden,95,95,11,0.10377358490566035,1.0869609091047154,1.1792006241163016,0.09223971501158612,effective converters,effective converters,True
leave_region_out::East Asia & Pacific,FRA,France,95,95,11,0.10377358490566035,0.7365146975756199,0.7377480867119559,0.0012333891363359717,effective converters,effective converters,True
leave_region_out::East Asia & Pacific,DNK,Denmark,95,95,11,0.10377358490566035,1.4369633295580748,1.4849078125749695,0.04794448301689469,effective converters,effective converters,True
leave_region_out::East Asia & Pacific,BEL,Belgium,95,95,11,0.10377358490566035,0.3690158846965657,0.3472333710128714,-0.021782513683694327,effective converters,effective converters,True
leave_region_out::East Asia & Pacific,AUT,Austria,95,95,11,0.10377358490566035,0.1233611947811609,0.030846094059391198,-0.09251510072176969,capacity under-realizers,effective converters,False
leave_region_out::East Asia & Pacific,ISL,Iceland,95,95,11,0.10377358490566035,1.0124193151295544,1.237133170630287,0.22471385550073264,effective converters,effective converters,True
leave_region_out::East Asia & Pacific,FIN,Finland,95,95,11,0.10377358490566035,1.095261278939026,1.1914633108025559,0.09620203186352994,effective converters,effective converters,True
leave_region_out::East Asia & Pacific,LUX,Luxembourg,95,95,11,0.10377358490566035,1.2789940158889337,1.159369148640823,-0.11962486724811061,effective converters,effective converters,True
leave_region_out::East Asia & Pacific,CZE,Czechia,95,95,11,0.10377358490566035,-0.6262960857776176,-0.6365536975802094,-0.01025761180259177,capacity under-realizers,capacity under-realizers,True
leave_region_out::East Asia & Pacific,USA,United States,95,95,11,0.10377358490566035,-1.2162711675864122,-1.0004128550039806,0.2158583125824316,capacity under-realizers,capacity under-realizers,True
leave_region_out::East Asia & Pacific,SVN,Slovenia,95,95,11,0.10377358490566035,0.1540796570156834,0.1030027262954279,-0.051076930720255515,capacity under-realizers,capacity under-realizers,True
leave_region_out::East Asia & Pacific,CHE,Switzerland,95,95,11,0.10377358490566035,0.3917916539711268,0.2362190226295102,-0.1555726313416166,effective converters,effective converters,True
leave_region_out::East Asia & Pacific,IRL,Ireland,95,95,11,0.10377358490566035,0.1787699417382001,0.01106308663723353,-0.16770685510096656,effective converters,effective converters,True
leave_region_out::East Asia & Pacific,CAN,Canada,95,95,11,0.10377358490566035,0.5773724585910407,0.9883800812352447,0.411007622644204,effective converters,effective converters,True
leave_region_out::East Asia & Pacific,NLD,Netherlands,95,95,11,0.10377358490566035,0.4866469717607894,0.4609303942635744,-0.02571657749721501,effective converters,effective converters,True
leave_region_out::East Asia & Pacific,MDV,Maldives,95,95,11,0.10377358490566035,-0.67968481209664,-0.7621505274900263,-0.08246571539338632,capacity under-realizers,capacity under-realizers,True
leave_region_out::East Asia & Pacific,GBR,United Kingdom,95,95,11,0.10377358490566035,0.2436217840916513,0.19035036935487845,-0.053271414736772854,capacity under-realizers,effective converters,False
leave_region_out::East Asia & Pacific,ESP,Spain,95,95,11,0.10377358490566035,0.2221367546696926,0.15981291301327458,-0.06232384165641802,capacity under-realizers,capacity under-realizers,True
leave_region_out::East Asia & Pacific,SVK,Slovak Republic,95,95,11,0.10377358490566035,-1.403125347198939,-1.4267519840778817,-0.02362663687894262,capacity under-realizers,capacity under-realizers,True
leave_region_out::East Asia & Pacific,PRT,Portugal,95,95,11,0.10377358490566035,0.4586448090368129,0.4001155000593034,-0.058529308977509464,capacity under-realizers,capacity under-realizers,True
