outcome_window,window_end,score_variable,method,n,n_outcome_countries,n_scoring_countries,missing_count_from_scoring_sample,missing_rate_from_scoring_sample,statistic,ci_low,ci_high,p_value,closest_available_rule
2020_end,2020-12-31,resilience_score_rank_based,spearman,108,125,193,85,0.44041450777202074,-0.0464028392126464,-0.2266192901017737,0.13353942522595968,0.6334489101298136,latest observation before or on window end
2020_end,2020-12-31,resilience_score_rank_based,kendall,108,125,193,85,0.44041450777202074,-0.03589082670828701,-0.15648588462924312,0.08376730603382719,0.5825988343018655,latest observation before or on window end
2021_end,2021-12-31,resilience_score_rank_based,spearman,108,125,193,85,0.44041450777202074,-0.22884159664678375,-0.3772102566680168,-0.046010606655925886,0.017208528286090673,latest observation before or on window end
2021_end,2021-12-31,resilience_score_rank_based,kendall,108,125,193,85,0.44041450777202074,-0.15101888919284054,-0.2536801490147369,-0.03175755781283394,0.020748109524466984,latest observation before or on window end
2022_end,2022-12-31,resilience_score_rank_based,spearman,108,125,193,85,0.44041450777202074,-0.12577498857730243,-0.280611685278149,0.04601399811823884,0.19461747928945605,latest observation before or on window end
2022_end,2022-12-31,resilience_score_rank_based,kendall,108,125,193,85,0.44041450777202074,-0.08478557613696787,-0.18762464824754388,0.02616612949718497,0.19417981548931618,latest observation before or on window end
2020_2021,2021-12-31,resilience_score_rank_based,spearman,108,125,193,85,0.44041450777202074,-0.22884159664678375,-0.3772102566680168,-0.046010606655925886,0.017208528286090673,latest observation before or on window end
2020_2021,2021-12-31,resilience_score_rank_based,kendall,108,125,193,85,0.44041450777202074,-0.15101888919284054,-0.2536801490147369,-0.03175755781283394,0.020748109524466984,latest observation before or on window end
2020_2022,2022-12-31,resilience_score_rank_based,spearman,108,125,193,85,0.44041450777202074,-0.12577498857730243,-0.280611685278149,0.04601399811823884,0.19461747928945605,latest observation before or on window end
2020_2022,2022-12-31,resilience_score_rank_based,kendall,108,125,193,85,0.44041450777202074,-0.08478557613696787,-0.18762464824754388,0.02616612949718497,0.19417981548931618,latest observation before or on window end
