sensitivity_sample,n,missing_count_from_full_validation_sample,spearman_r,spearman_ci_low,spearman_ci_high,spearman_p_value,kendall_tau,kendall_ci_low,kendall_ci_high,kendall_p_value,status
all_validation_countries,108,0,-0.12577498857730243,-0.2849603845527642,0.045359217082285706,0.19461747928945605,-0.08478557613696787,-0.19053159937138217,0.02478223405423598,0.19417981548931618,fit
exclude_population_below_1m,88,20,-0.16905823890344693,-0.34191445828530803,0.057746525063423856,0.11535161581974851,-0.112230332001853,-0.22375461682219594,0.0314558303336855,0.12204023864930574,fit
exclude_top_bottom_2_5pct_outcomes,102,6,-0.14098500655092513,-0.2986358979614778,0.05151602303369293,0.15753801953857832,-0.09704410041817732,-0.19935702024873084,0.019961975080450712,0.1490481395716532,fit
high_income_subset,57,51,-0.18267859611594106,-0.43040772505730596,0.06261988717808681,0.1737938017348673,-0.14321653246369567,-0.314374193235685,0.028883987257286324,0.1164581241740897,fit
non_high_income_subset,51,57,0.2519460577126495,-0.033983940052861476,0.5008019223874358,0.07449790618458678,0.16515988643385404,-0.036445156936566976,0.3549864690364401,0.08799023767295788,fit
leave_region_out::East Asia & Pacific,97,11,-0.08416263129844903,-0.24579037776371132,0.10865365686168234,0.4124352157593111,-0.05874135698692384,-0.1706645210900171,0.07035719632779118,0.3948129019795633,fit
leave_region_out::Europe & Central Asia,58,50,-0.28437389529288537,-0.5308774087626903,-0.012073958550560773,0.030505374707884995,-0.19993964165953718,-0.37846138612856467,-0.010121106211297597,0.026836731064952515,fit
leave_region_out::Latin America & Caribbean ,83,25,-0.1724559576696024,-0.3653720313754529,0.011474621318724542,0.11899005292400258,-0.11690248627169253,-0.2544930176442445,0.009578820672440758,0.1184142956799792,fit
"leave_region_out::Middle East, North Africa, Afghanistan & Pakistan",95,13,-0.11711305018873473,-0.28407996542902847,0.0654534156163495,0.25836663806217663,-0.08774703714590078,-0.20364979238847436,0.03140080891033559,0.20867335742043158,fit
leave_region_out::North America,106,2,-0.12608168825223579,-0.2616737004455988,0.05431532796810328,0.19779990208668377,-0.08496097382826306,-0.17640723097348518,0.03300043093713931,0.19752110008287316,fit
leave_region_out::South Asia,106,2,-0.14696131505787965,-0.31125173015467644,0.045856262378477175,0.13276321542884945,-0.09883004312512418,-0.2048499340896066,0.019063322737342646,0.1339058307670906,fit
leave_region_out::Sub-Saharan Africa ,103,5,-0.16332728358338272,-0.3376595467810334,0.013473377705019609,0.09926027136136446,-0.1085051178485524,-0.22415538553298045,0.004506363743656998,0.10490680480961098,fit
