iso3,country,region,income_group,potential_capacity_score,potential_capacity_rank_point,median_potential_capacity_rank,potential_rank_p05,potential_rank_p95,top_quartile_probability,bottom_quartile_probability,method_disagreement_index,capacity_score,preparedness_score,vulnerability_score,equity_access_score,expanded_feature_missing_count,expanded_feature_missing_rate,n_valid_pipelines,n_countries_in_sample,n_indicators
NOR,Norway,Europe & Central Asia,High income,0.8610700537740054,1,1.5,1.0,3.0,1.0,0.0,0.0104166666666666,0.8893379752351854,0.962615262387194,0.811761696495954,0.7805652809776883,1,0.0384615384615384,60,193,26
DEU,Germany,Europe & Central Asia,High income,0.8582878738042546,2,3.0,1.95,6.049999999999997,1.0,0.0,0.0213541666666666,0.9836246709352092,0.938569393744255,0.7063349549289141,0.8046224756086403,1,0.0384615384615384,60,193,26
SWE,Sweden,Europe & Central Asia,High income,0.8538659065665202,3,6.0,2.0,12.0,1.0,0.0,0.0520833333333333,0.8642630286716789,0.9787664702575456,0.7824609132483888,0.7899732140884674,1,0.0384615384615384,60,193,26
JPN,Japan,East Asia & Pacific,High income,0.8428422797911096,4,5.0,2.0,10.199999999999989,1.0,0.0,0.0427083333333332,0.8801047100926818,0.959470696947852,0.7014535847653254,0.8303401273585788,2,0.0769230769230769,60,193,26
FRA,France,Europe & Central Asia,High income,0.8403236132618811,5,8.0,3.95,14.0,1.0,0.0,0.05234375,0.8816586691752235,0.9149891975859356,0.7485342291560318,0.8161123571303338,1,0.0384615384615384,60,193,26
AUS,Australia,East Asia & Pacific,High income,0.8368027626289708,6,11.5,4.95,17.0,1.0,0.0,0.0627604166666666,0.8291484874562962,0.9423188888894608,0.806195960811031,0.7695477133590953,1,0.0384615384615384,60,193,26
CUB,Cuba,Latin America & Caribbean ,Upper middle income,0.8359340270302232,7,7.0,2.0,16.099999999999994,1.0,0.0,0.0734374999999999,0.7871430913252367,0.978327822018152,0.6844729033931781,0.8937922913843265,0,0.0,60,193,26
DNK,Denmark,Europe & Central Asia,High income,0.8339455876296181,8,11.0,8.0,24.0,1.0,0.0,0.0833333333333333,0.8524434355787608,0.95256787051843,0.728529526762817,0.8022415176584646,1,0.0384615384615384,60,193,26
BEL,Belgium,Europe & Central Asia,High income,0.8308187258687971,9,10.5,7.85,27.19999999999999,1.0,0.0,0.1007812499999999,0.9142151453801022,0.9679362773203304,0.6881062591222258,0.7530172216525302,1,0.0384615384615384,60,193,26
AUT,Austria,Europe & Central Asia,High income,0.830528220154409,10,7.0,5.9,19.0,1.0,0.0,0.0682291666666666,0.9136190221246516,0.8979830596659448,0.7733998042913311,0.737110994535708,2,0.0769230769230769,60,193,26
ISL,Iceland,Europe & Central Asia,High income,0.8197837824330648,11,13.0,6.0,17.0,1.0,0.0,0.0572916666666666,0.7553247390699022,0.91199171686747,0.8111782215564786,0.800640452238409,1,0.0384615384615384,60,193,26
FIN,Finland,Europe & Central Asia,High income,0.8177702742189719,12,14.0,10.0,20.0,1.0,0.0,0.0520833333333333,0.7847361384939117,0.9205143361449236,0.7855510164736608,0.7802796057633915,2,0.0769230769230769,60,193,26
LUX,Luxembourg,Europe & Central Asia,High income,0.8161753266508913,13,15.5,7.0,20.05,1.0,0.0,0.0679687499999999,0.6792069728068933,0.9896118582899992,0.7630458643046747,0.8328366112019977,1,0.0384615384615384,60,193,26
CZE,Czechia,Europe & Central Asia,High income,0.8097716791500749,14,20.0,14.95,22.0,1.0,0.0,0.03671875,0.7306943708589259,0.9562019417740776,0.7031982734362339,0.8489921305310624,2,0.0769230769230769,60,193,26
USA,United States,North America,High income,0.8057357451635478,15,9.0,1.0,20.34999999999998,1.0,0.0,0.1007812499999998,0.8550311559518963,0.9138985755857656,0.7324631956840566,0.721550053432473,2,0.0769230769230769,60,193,26
SVN,Slovenia,Europe & Central Asia,High income,0.805722499678827,16,18.0,4.0,23.05,1.0,0.0,0.0992187499999999,0.6779266272763665,0.9339615960818666,0.773573339196457,0.8374284361606179,1,0.0384615384615384,60,193,26
NZL,New Zealand,East Asia & Pacific,High income,0.8030950622595759,17,22.5,13.85,25.05,1.0,0.0,0.0583333333333333,0.6743030036937113,0.9187125225851258,0.793972891705199,0.8253918310542672,1,0.0384615384615384,60,193,26
CHE,Switzerland,Europe & Central Asia,High income,0.803058382240651,18,14.0,2.95,38.0,1.0,0.0,0.1825520833333333,0.8352090043731014,0.9483929944940565,0.7646785951566378,0.6639529349388084,1,0.0384615384615384,60,193,26
