iso3,country,profile,profile_probability,n_simulations,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample
NOR,Norway,effective converters,0.999,1000,106,87,0.4507772020725389
NOR,Norway,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
NOR,Norway,adaptive over-performers,0.001,1000,106,87,0.4507772020725389
NOR,Norway,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
NOR,Norway,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
DEU,Germany,effective converters,0.982,1000,106,87,0.4507772020725389
DEU,Germany,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
DEU,Germany,adaptive over-performers,0.018,1000,106,87,0.4507772020725389
DEU,Germany,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
DEU,Germany,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
SWE,Sweden,effective converters,0.997,1000,106,87,0.4507772020725389
SWE,Sweden,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
SWE,Sweden,adaptive over-performers,0.003,1000,106,87,0.4507772020725389
SWE,Sweden,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
SWE,Sweden,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
JPN,Japan,effective converters,0.988,1000,106,87,0.4507772020725389
JPN,Japan,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
JPN,Japan,adaptive over-performers,0.012,1000,106,87,0.4507772020725389
JPN,Japan,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
JPN,Japan,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
FRA,France,effective converters,0.984,1000,106,87,0.4507772020725389
FRA,France,capacity under-realizers,0.001,1000,106,87,0.4507772020725389
FRA,France,adaptive over-performers,0.015,1000,106,87,0.4507772020725389
FRA,France,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
FRA,France,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
AUS,Australia,effective converters,0.982,1000,106,87,0.4507772020725389
AUS,Australia,capacity under-realizers,0.007,1000,106,87,0.4507772020725389
AUS,Australia,adaptive over-performers,0.011,1000,106,87,0.4507772020725389
AUS,Australia,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
AUS,Australia,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
DNK,Denmark,effective converters,0.988,1000,106,87,0.4507772020725389
DNK,Denmark,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
DNK,Denmark,adaptive over-performers,0.012,1000,106,87,0.4507772020725389
DNK,Denmark,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
DNK,Denmark,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
BEL,Belgium,effective converters,0.937,1000,106,87,0.4507772020725389
BEL,Belgium,capacity under-realizers,0.02,1000,106,87,0.4507772020725389
BEL,Belgium,adaptive over-performers,0.043,1000,106,87,0.4507772020725389
BEL,Belgium,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
BEL,Belgium,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
AUT,Austria,effective converters,0.0,1000,106,87,0.4507772020725389
AUT,Austria,capacity under-realizers,0.952,1000,106,87,0.4507772020725389
AUT,Austria,adaptive over-performers,0.046,1000,106,87,0.4507772020725389
AUT,Austria,structurally vulnerable systems,0.002,1000,106,87,0.4507772020725389
AUT,Austria,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
ISL,Iceland,effective converters,0.988,1000,106,87,0.4507772020725389
ISL,Iceland,capacity under-realizers,0.001,1000,106,87,0.4507772020725389
