iso3,country,observed_shock_burden,predicted_shock_burden,realized_resilience_gap,gap_interpretation,prediction_interval_low,prediction_interval_high,n_validation_countries,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample
NOR,Norway,1072.0009,2489.43297920569,-1417.4320792056901,better-than-expected shock burden / adaptive over-performance,1827.6871113250568,3176.808882821159,106,87,0.4507772020725389
DEU,Germany,2179.8662,3168.4079074236597,-988.5417074236598,better-than-expected shock burden / adaptive over-performance,2411.9721279011255,3844.625455066008,106,87,0.4507772020725389
SWE,Sweden,1389.8391,3136.7813567587964,-1746.9422567587965,better-than-expected shock burden / adaptive over-performance,2518.2612958847003,3693.2076464021334,106,87,0.4507772020725389
JPN,Japan,859.7607,3114.2401415601903,-2254.47944156019,better-than-expected shock burden / adaptive over-performance,2083.5519460314563,4224.538661120744,106,87,0.4507772020725389
FRA,France,1838.9587,3022.6706781782536,-1183.7119781782537,better-than-expected shock burden / adaptive over-performance,2419.9600057421703,3581.397078332704,106,87,0.4507772020725389
AUS,Australia,927.5937,1794.7921784411287,-867.1984784411287,better-than-expected shock burden / adaptive over-performance,1056.3600007967743,2680.7335845422663,106,87,0.4507772020725389
DNK,Denmark,674.96173,2984.4210130255883,-2309.4592830255883,better-than-expected shock burden / adaptive over-performance,2323.0252467466257,3510.213270554453,106,87,0.4507772020725389
BEL,Belgium,2334.5127,2927.5877931260566,-593.0750931260563,better-than-expected shock burden / adaptive over-performance,2177.1861940923927,3539.195233266099,106,87,0.4507772020725389
AUT,Austria,2567.4924,2765.756093019986,-198.26369301998602,better-than-expected shock burden / adaptive over-performance,2231.568651325123,3291.797329070057,106,87,0.4507772020725389
ISL,Iceland,1134.6113,2761.7517687546424,-1627.1404687546424,better-than-expected shock burden / adaptive over-performance,1997.4586952297761,3621.4879121977588,106,87,0.4507772020725389
FIN,Finland,1876.0293,3636.311748378223,-1760.282448378223,better-than-expected shock burden / adaptive over-performance,2995.396714422163,4264.0536153779485,106,87,0.4507772020725389
LUX,Luxembourg,-259.57343,1796.0006700275108,-2055.5741000275107,better-than-expected shock burden / adaptive over-performance,1107.8023276077533,2403.443224656804,106,87,0.4507772020725389
CZE,Czechia,4400.776,3394.2052132099575,1006.5707867900423,worse-than-expected shock burden / capacity under-realization,2770.021007696377,3982.132747267722,106,87,0.4507772020725389
USA,United States,3758.817,1804.0498317086053,1954.7671682913947,worse-than-expected shock burden / capacity under-realization,1099.4812680099024,2571.6518608408987,106,87,0.4507772020725389
SVN,Slovenia,2868.0425,3115.6763031045675,-247.6338031045675,better-than-expected shock burden / adaptive over-performance,2587.8873310052027,3670.24024783247,106,87,0.4507772020725389
NZL,New Zealand,-91.14247,1665.3184336941083,-1756.4609036941083,better-than-expected shock burden / adaptive over-performance,1140.2115501721544,2242.3345769928437,106,87,0.4507772020725389
CHE,Switzerland,2020.4288,2650.108662849276,-629.6798628492759,better-than-expected shock burden / adaptive over-performance,2014.5107854742544,3232.4919434448957,106,87,0.4507772020725389
IRL,Ireland,1580.8341,1868.1496445102425,-287.3155445102425,better-than-expected shock burden / adaptive over-performance,1148.4835372792256,2523.9423576817603,106,87,0.4507772020725389
CAN,Canada,1420.5111,2348.4527926154033,-927.9416926154033,better-than-expected shock burden / adaptive over-performance,1583.0386081281952,3360.8371310073326,106,87,0.4507772020725389
NLD,Netherlands,2329.8596,3111.9890693963334,-782.1294693963337,better-than-expected shock burden / adaptive over-performance,2338.126904997842,3733.3454653441095,106,87,0.4507772020725389
MDV,Maldives,1109.1743,16.798199274564013,1092.376100725436,worse-than-expected shock burden / capacity under-realization,-1505.0830656899095,1015.2643072875884,106,87,0.4507772020725389
GBR,United Kingdom,2703.8333,3095.3774537333816,-391.5441537333818,better-than-expected shock burden / adaptive over-performance,2528.8203877661517,3557.268178609026,106,87,0.4507772020725389
ESP,Spain,2906.9697,3263.9835357886086,-357.0138357886085,better-than-expected shock burden / adaptive over-performance,2715.6847229255636,3750.9296027808127,106,87,0.4507772020725389
