model,cv_scheme,repeat,rmse,n,held_out_group,spearman_predicted_observed
random_forest,repeated_kfold,0.0,1812.4943800082804,108,,
random_forest,repeated_kfold,1.0,1878.600219607688,108,,
random_forest,repeated_kfold,2.0,1957.803463912065,108,,
random_forest,repeated_kfold,3.0,1871.1085348402303,108,,
random_forest,repeated_kfold,4.0,1843.2284537290045,108,,
random_forest,repeated_kfold,5.0,1812.3122799421294,108,,
random_forest,repeated_kfold,6.0,1803.7564625140863,108,,
random_forest,repeated_kfold,7.0,1832.9979760001283,108,,
random_forest,repeated_kfold,8.0,1817.4348704144984,108,,
random_forest,repeated_kfold,9.0,1835.0878720197122,108,,
ridge,repeated_kfold,0.0,2162.9807044640706,108,,
ridge,repeated_kfold,1.0,2147.0127743643384,108,,
ridge,repeated_kfold,2.0,2180.2386459248087,108,,
ridge,repeated_kfold,3.0,2206.341413237021,108,,
ridge,repeated_kfold,4.0,2174.0126048750562,108,,
ridge,repeated_kfold,5.0,2139.221363142535,108,,
ridge,repeated_kfold,6.0,2224.657851103459,108,,
ridge,repeated_kfold,7.0,2190.211200939047,108,,
ridge,repeated_kfold,8.0,2241.396150720233,108,,
ridge,repeated_kfold,9.0,2150.0505891367347,108,,
linear,repeated_kfold,0.0,2174.048252454631,108,,
linear,repeated_kfold,1.0,2156.4282124298293,108,,
linear,repeated_kfold,2.0,2192.2364561433474,108,,
linear,repeated_kfold,3.0,2229.860940490472,108,,
linear,repeated_kfold,4.0,2191.21923527083,108,,
linear,repeated_kfold,5.0,2143.460793684625,108,,
linear,repeated_kfold,6.0,2254.529703490169,108,,
linear,repeated_kfold,7.0,2205.415535836847,108,,
linear,repeated_kfold,8.0,2268.902232594474,108,,
linear,repeated_kfold,9.0,2156.503689315649,108,,
random_forest,leave_one_region_out,,2033.630762624571,11,East Asia & Pacific,0.18181818181818182
ridge,leave_one_region_out,,2281.491523524507,11,East Asia & Pacific,0.018181818181818184
linear,leave_one_region_out,,2322.704031140117,11,East Asia & Pacific,0.018181818181818184
random_forest,leave_one_region_out,,3202.8080998659157,50,Europe & Central Asia,0.5430492196878751
ridge,leave_one_region_out,,3205.361644717602,50,Europe & Central Asia,0.15006002400960383
linear,leave_one_region_out,,3240.9035583036666,50,Europe & Central Asia,0.04192076830732293
random_forest,leave_one_region_out,,1673.6499639014003,25,Latin America & Caribbean ,0.36153846153846153
ridge,leave_one_region_out,,1878.4440982740373,25,Latin America & Caribbean ,-0.09999999999999999
linear,leave_one_region_out,,1993.1063274854585,25,Latin America & Caribbean ,-0.07461538461538461
random_forest,leave_one_region_out,,1641.5198512721547,13,"Middle East, North Africa, Afghanistan & Pakistan",0.4505494505494505
ridge,leave_one_region_out,,1499.5901026524182,13,"Middle East, North Africa, Afghanistan & Pakistan",0.3681318681318681
linear,leave_one_region_out,,1548.258060512926,13,"Middle East, North Africa, Afghanistan & Pakistan",0.3681318681318681
random_forest,leave_one_region_out,,1974.5858783110668,5,Sub-Saharan Africa ,0.09999999999999999
ridge,leave_one_region_out,,3351.8168481666826,5,Sub-Saharan Africa ,0.39999999999999997
linear,leave_one_region_out,,3479.6530273222065,5,Sub-Saharan Africa ,0.39999999999999997
random_forest,leave_one_income_group_out,,2801.925210283345,57,High income,0.5840846704827906
ridge,leave_one_income_group_out,,3652.7249751976474,57,High income,0.02988073632356754
linear,leave_one_income_group_out,,4072.629643424722,57,High income,0.004148301788955147
random_forest,leave_one_income_group_out,,1248.2203231125734,13,Lower middle income,0.2747252747252747
ridge,leave_one_income_group_out,,2451.735447694887,13,Lower middle income,0.20329670329670327
linear,leave_one_income_group_out,,2525.8710191921264,13,Lower middle income,0.1758241758241758
random_forest,leave_one_income_group_out,,2296.799776133863,38,Upper middle income,0.37848779954043116
ridge,leave_one_income_group_out,,2724.824643665678,38,Upper middle income,0.1329467118940803
linear,leave_one_income_group_out,,2813.2287743700913,38,Upper middle income,0.1438888280993544
