score_variable,outcome,higher_value_interpretation,method,n,n_ranked_countries,outcome_missing_count_from_ranked_sample,outcome_missing_rate_from_ranked_sample,statistic,ci_low,ci_high,p_value
median_score,cumulative_excess_deaths_per_million_2020_2022,Higher value means higher potential capacity/resilience score.,spearman,108,193,85,0.44041450777202074,-0.12000914573151561,-0.27219688167183814,0.06116152826333213,0.21603662216946812
median_score,cumulative_excess_deaths_per_million_2020_2022,Higher value means higher potential capacity/resilience score.,kendall,108,193,85,0.44041450777202074,-0.08168916580131533,-0.1847815681556513,0.03547183753626515,0.21017706697766847
median_rank,cumulative_excess_deaths_per_million_2020_2022,Higher value means lower rank position and therefore less resilient by rank.,spearman,108,193,85,0.44041450777202074,0.12577498857730243,-0.046013998118238864,0.280611685278149,0.19461747928945605
median_rank,cumulative_excess_deaths_per_million_2020_2022,Higher value means lower rank position and therefore less resilient by rank.,kendall,108,193,85,0.44041450777202074,0.08478557613696787,-0.026166129497184998,0.18762464824754388,0.19417981548931618
mean_rank,cumulative_excess_deaths_per_million_2020_2022,Higher value means lower rank position and therefore less resilient by rank.,spearman,108,193,85,0.44041450777202074,0.19823373060104604,0.017140308670749577,0.35101925132133416,0.039725649593075604
mean_rank,cumulative_excess_deaths_per_million_2020_2022,Higher value means lower rank position and therefore less resilient by rank.,kendall,108,193,85,0.44041450777202074,0.12841813776393216,0.010564812004355599,0.23297555849098117,0.04885187367748308
top_quartile_probability,cumulative_excess_deaths_per_million_2020_2022,Higher value means more often in the top resilience quartile.,spearman,108,193,85,0.44041450777202074,-0.1886257086308115,-0.35640370596642396,-0.0076437277159762725,0.0505791213991785
top_quartile_probability,cumulative_excess_deaths_per_million_2020_2022,Higher value means more often in the top resilience quartile.,kendall,108,193,85,0.44041450777202074,-0.12697446171294788,-0.24237135038152535,-0.007496443453066515,0.053680604881360956
bottom_quartile_probability,cumulative_excess_deaths_per_million_2020_2022,Higher value means more often in the bottom resilience quartile.,spearman,108,193,85,0.44041450777202074,0.3573827410115431,0.1736290165173199,0.5282239124978745,0.00014645383592576085
bottom_quartile_probability,cumulative_excess_deaths_per_million_2020_2022,Higher value means more often in the bottom resilience quartile.,kendall,108,193,85,0.44041450777202074,0.27206337559594634,0.1303430655504347,0.4100306335466905,0.00012396106122223273
rank_instability_index,cumulative_excess_deaths_per_million_2020_2022,"Higher value means more method-sensitive ranking, not more or less resilience.",spearman,108,193,85,0.44041450777202074,0.24945935389217563,0.05714810823955062,0.41511379921119973,0.009225314016875283
rank_instability_index,cumulative_excess_deaths_per_million_2020_2022,"Higher value means more method-sensitive ranking, not more or less resilience.",kendall,108,193,85,0.44041450777202074,0.16960886119764623,0.03597235182117442,0.2881135810720292,0.009275452120878639
resilience_score_rank_based,cumulative_excess_deaths_per_million_2020_2022,Higher value means higher rank-based potential capacity/resilience score.,spearman,108,193,85,0.44041450777202074,-0.12577498857730243,-0.280611685278149,0.04601399811823884,0.19461747928945605
resilience_score_rank_based,cumulative_excess_deaths_per_million_2020_2022,Higher value means higher rank-based potential capacity/resilience score.,kendall,108,193,85,0.44041450777202074,-0.08478557613696787,-0.18762464824754388,0.02616612949718497,0.19417981548931618
