iso3,country,available_evidence_variants,n_variants_available,n_total_variants_considered,profile_labels_observed,country_label_category,label_stability_rate,n,coverage_count,missing_count,missing_rate,source_provenance
AFG,Afghanistan,life_expectancy_loss,1,3,structurally vulnerable systems,data-limited,1.0,1,1,2,0.6666666666666667,results/tables/stage4_evidence_variant_country_scores.csv
AGO,Angola,life_expectancy_loss,1,3,adaptive over-performers,data-limited,1.0,1,1,2,0.6666666666666667,results/tables/stage4_evidence_variant_country_scores.csv
ALB,Albania,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,"capacity under-realizers,structurally vulnerable systems",evidence-dependent label,0.6666666666666666,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
AND,Andorra,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,"capacity under-realizers,effective converters",evidence-dependent label,0.6666666666666666,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
ARE,United Arab Emirates,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,capacity under-realizers,stable under-realizer,1.0,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
ARG,Argentina,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,capacity under-realizers,stable under-realizer,1.0,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
ARM,Armenia,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,uncertain / data-limited systems,data-limited,1.0,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
ATG,Antigua and Barbuda,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,uncertain / data-limited systems,data-limited,1.0,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
AUS,Australia,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,effective converters,stable effective converter,1.0,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
AUT,Austria,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,"capacity under-realizers,effective converters",evidence-dependent label,0.6666666666666666,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
AZE,Azerbaijan,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,"adaptive over-performers,structurally vulnerable systems",evidence-dependent label,0.6666666666666666,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
BDI,Burundi,life_expectancy_loss,1,3,adaptive over-performers,data-limited,1.0,1,1,2,0.6666666666666667,results/tables/stage4_evidence_variant_country_scores.csv
BEL,Belgium,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,"capacity under-realizers,effective converters",evidence-dependent label,0.6666666666666666,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
BEN,Benin,life_expectancy_loss,1,3,adaptive over-performers,data-limited,1.0,1,1,2,0.6666666666666667,results/tables/stage4_evidence_variant_country_scores.csv
BFA,Burkina Faso,life_expectancy_loss,1,3,adaptive over-performers,data-limited,1.0,1,1,2,0.6666666666666667,results/tables/stage4_evidence_variant_country_scores.csv
BGD,Bangladesh,life_expectancy_loss,1,3,structurally vulnerable systems,data-limited,1.0,1,1,2,0.6666666666666667,results/tables/stage4_evidence_variant_country_scores.csv
BGR,Bulgaria,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,uncertain / data-limited systems,data-limited,1.0,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
BHR,Bahrain,life_expectancy_loss,1,3,capacity under-realizers,data-limited,1.0,1,1,2,0.6666666666666667,results/tables/stage4_evidence_variant_country_scores.csv
BHS,"Bahamas, The","baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,adaptive over-performers,stable over-performer,1.0,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
BIH,Bosnia and Herzegovina,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,"capacity under-realizers,structurally vulnerable systems",evidence-dependent label,0.6666666666666666,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
BLR,Belarus,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,capacity under-realizers,stable under-realizer,1.0,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
BLZ,Belize,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,uncertain / data-limited systems,data-limited,1.0,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
BOL,Bolivia,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,structurally vulnerable systems,stable structurally vulnerable,1.0,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
BRA,Brazil,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,"capacity under-realizers,structurally vulnerable systems",evidence-dependent label,0.6666666666666666,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
BRB,Barbados,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,"adaptive over-performers,uncertain / data-limited systems",evidence-dependent label,0.6666666666666666,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
BRN,Brunei Darussalam,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,uncertain / data-limited systems,data-limited,1.0,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
BTN,Bhutan,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,uncertain / data-limited systems,data-limited,1.0,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
BWA,Botswana,life_expectancy_loss,1,3,structurally vulnerable systems,data-limited,1.0,1,1,2,0.6666666666666667,results/tables/stage4_evidence_variant_country_scores.csv
CAF,Central African Republic,life_expectancy_loss,1,3,structurally vulnerable systems,data-limited,1.0,1,1,2,0.6666666666666667,results/tables/stage4_evidence_variant_country_scores.csv
CAN,Canada,"baseline_owid_excess_mortality,ghs_enhanced_owid,life_expectancy_loss",3,3,effective converters,stable effective converter,1.0,3,3,0,0.0,results/tables/stage4_evidence_variant_country_scores.csv
