iso3,country,conversion_profile,conversion_efficiency_zscore,realized_resilience_gap,main_bottleneck_block,evidence_variant,n,coverage_count,missing_count,missing_rate,source_provenance
MNG,Mongolia,adaptive over-performers,2.432192655157404,-3908.9723377195673,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
SLV,El Salvador,adaptive over-performers,1.620492975314234,-2604.4245304910974,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
NAM,Namibia,adaptive over-performers,1.6115552910680526,-2590.060059647264,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
DOM,Dominican Republic,adaptive over-performers,1.5073829326411707,-2422.636288104242,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
VCT,St. Vincent and the Grenadines,adaptive over-performers,1.4192387944136184,-2280.9727577366884,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
BRB,Barbados,adaptive over-performers,1.153939279448213,-1854.5885800642689,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
UZB,Uzbekistan,adaptive over-performers,0.9972041778784172,-1602.6869985481662,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
FJI,Fiji,adaptive over-performers,0.9963822847207642,-1601.3660679833056,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
TJK,Tajikistan,adaptive over-performers,0.8731159431863904,-1403.2548212413917,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
CPV,Cabo Verde,adaptive over-performers,0.7253228043293579,-1165.7245868367083,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
JAM,Jamaica,adaptive over-performers,0.6781550515502107,-1089.9174995752967,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
