iso3,country,region,income_group,potential_capacity_score,capacity_score,preparedness_score,vulnerability_score,equity_access_score,method_disagreement_index,expanded_feature_missing_rate,evidence_variant,outcome,observed_outcome,predicted_outcome,realized_resilience_gap,conversion_efficiency_zscore,observed_shock_burden,conversion_profile,main_bottleneck_block,n,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample,missing_count,missing_rate,source_indicator,source_provenance,higher_is_worse
NOR,Norway,Europe & Central Asia,High income,0.8610700537740054,0.8893379752351854,0.962615262387194,0.811761696495954,0.7805652809776883,0.0104166666666666,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,-0.2512195121950924,1.0352952008194354,-1.2865147130145278,0.7857232476070419,-0.2512195121950924,effective converters,equity_access,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
DEU,Germany,Europe & Central Asia,High income,0.8582878738042546,0.9836246709352092,0.938569393744255,0.7063349549289141,0.8046224756086403,0.0213541666666666,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.25121951219510663,0.9462598649562104,-0.6950403527611038,0.42448746031809403,0.25121951219510663,effective converters,vulnerability,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
SWE,Sweden,Europe & Central Asia,High income,0.8538659065665202,0.8642630286716789,0.9787664702575456,0.7824609132483888,0.7899732140884674,0.0520833333333333,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.7536585365854052,0.8546802587500512,-0.101021722164646,0.06169779079484623,0.7536585365854052,capacity under-realizers,vulnerability,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
JPN,Japan,East Asia & Pacific,High income,0.8428422797911096,0.8801047100926818,0.959470696947852,0.7014535847653254,0.8303401273585788,0.0427083333333332,0.0769230769230769,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,-0.203658536585408,-0.016486775825257607,-0.1871717607601504,0.11431288133518065,-0.203658536585408,effective converters,vulnerability,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
FRA,France,Europe & Central Asia,High income,0.8403236132618811,0.8816586691752235,0.9149891975859356,0.7485342291560318,0.8161123571303338,0.05234375,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.6512195121950981,0.9613995605151331,-0.310180048320035,0.18943870011238262,0.6512195121950981,capacity under-realizers,vulnerability,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
AUS,Australia,East Asia & Pacific,High income,0.8368027626289708,0.8291484874562962,0.9423188888894608,0.806195960811031,0.7695477133590953,0.0627604166666666,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,-0.29999999999999716,0.2156061024925271,-0.5156061024925243,0.3149001696118657,-0.29999999999999716,effective converters,equity_access,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
DNK,Denmark,Europe & Central Asia,High income,0.8339455876296181,0.8524434355787608,0.95256787051843,0.728529526762817,0.8022415176584646,0.0833333333333333,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,-0.1512195121952118,0.9914181717033979,-1.1426376838986096,0.6978520981911739,-0.1512195121952118,effective converters,vulnerability,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
BEL,Belgium,Europe & Central Asia,High income,0.8308187258687971,0.9142151453801022,0.9679362773203304,0.6881062591222258,0.7530172216525302,0.1007812499999999,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,1.2999999999999972,1.055336173940936,0.24466382605906123,-0.1494254624827747,1.2999999999999972,capacity under-realizers,vulnerability,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
AUT,Austria,Europe & Central Asia,High income,0.830528220154409,0.9136190221246516,0.8979830596659448,0.7733998042913311,0.737110994535708,0.0682291666666666,0.0769230769230769,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.7024390243901877,1.0372330270092496,-0.3347940026190619,0.20447137398127785,0.7024390243901877,capacity under-realizers,equity_access,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
ISL,Iceland,Europe & Central Asia,High income,0.8197837824330648,0.7553247390699022,0.91199171686747,0.8111782215564786,0.800640452238409,0.0572916666666666,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.10000000000000853,0.9164239801004203,-0.8164239801004117,0.4986210375827382,0.10000000000000853,effective converters,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
FIN,Finland,Europe & Central Asia,High income,0.8177702742189719,0.7847361384939117,0.9205143361449236,0.7855510164736608,0.7802796057633915,0.0520833333333333,0.0769230769230769,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.05121951219508958,0.6993389806644924,-0.6481194684694028,0.3958310996769599,0.05121951219508958,effective converters,equity_access,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
LUX,Luxembourg,Europe & Central Asia,High income,0.8161753266508913,0.6792069728068933,0.9896118582899992,0.7630458643046747,0.8328366112019977,0.0679687499999999,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.4951219512195024,1.393914115320602,-0.8987921641010996,0.5489264063265343,0.4951219512195024,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
CZE,Czechia,Europe & Central Asia,High income,0.8097716791500749,0.7306943708589259,0.9562019417740776,0.7031982734362339,0.8489921305310624,0.03671875,0.0769230769230769,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,1.002439024390199,0.8715999182067101,0.13083910618348893,-0.07990839621538987,1.002439024390199,capacity under-realizers,vulnerability,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
