iso3,country,region,income_group,potential_capacity_score,potential_capacity_rank_point,median_potential_capacity_rank,potential_rank_p05,potential_rank_p95,top_quartile_probability,bottom_quartile_probability,method_disagreement_index,capacity_score,preparedness_score,vulnerability_score,equity_access_score,expanded_feature_missing_count,expanded_feature_missing_rate,n_valid_pipelines,n_countries_in_sample,n_indicators,ghs_overall_2019,ghs_prevention_2019,ghs_detection_2019,ghs_response_2019,ghs_health_system_2019,ghs_compliance_2019,ghs_risk_environment_2019,ghs_overall_2019_scaled,ghs_prevention_2019_scaled,ghs_detection_2019_scaled,ghs_response_2019_scaled,ghs_health_system_2019_scaled,ghs_compliance_2019_scaled,ghs_risk_environment_2019_scaled,ghs_only_preparedness_score,preparedness_proxy_plus_ghs_score,n,coverage_count,missing_count,missing_rate,source_provenance
NOR,Norway,Europe & Central Asia,High income,0.8610700537740054,1,1.5,1.0,3.0,1.0,0.0,0.0104166666666666,0.8893379752351854,0.962615262387194,0.811761696495954,0.7805652809776883,1,0.0384615384615384,60,193,26,61.4,49.6,52.5,68.1,45.1,64.8,88.2,0.7461406518010291,0.6153846153846154,0.6310096153846153,0.7788778877887788,0.5926928281461434,0.704663212435233,1.0,0.7241098301343449,0.8433625462607695,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
DEU,Germany,Europe & Central Asia,High income,0.8582878738042546,2,3.0,1.95,6.049999999999997,1.0,0.0,0.0213541666666666,0.9836246709352092,0.938569393744255,0.7063349549289141,0.8046224756086403,1,0.0384615384615384,60,193,26,65.7,49.1,70.3,68.0,53.7,70.8,82.5,0.8198970840480274,0.609181141439206,0.844951923076923,0.7772277227722773,0.7090663058186739,0.8082901554404144,0.9109375,0.7827931189422175,0.8606812563432362,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
SWE,Sweden,Europe & Central Asia,High income,0.8538659065665202,3,6.0,2.0,12.0,1.0,0.0,0.0520833333333333,0.8642630286716789,0.9787664702575456,0.7824609132483888,0.7899732140884674,1,0.0384615384615384,60,193,26,66.4,80.6,64.6,46.1,53.6,69.4,83.8,0.8319039451114923,1.0,0.7764423076923076,0.4158415841584159,0.7077131258457375,0.7841105354058722,0.9312499999999999,0.7781802140305464,0.878473342144046,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
JPN,Japan,East Asia & Pacific,High income,0.8428422797911096,4,5.0,2.0,10.199999999999989,1.0,0.0,0.0427083333333332,0.8801047100926818,0.959470696947852,0.7014535847653254,0.8303401273585788,2,0.0769230769230769,60,193,26,58.8,47.2,56.1,63.1,49.3,66.7,70.3,0.7015437392795882,0.5856079404466502,0.6742788461538461,0.6963696369636964,0.6495263870094722,0.7374784110535406,0.7203124999999999,0.6807310658438277,0.8201008813958399,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
FRA,France,Europe & Central Asia,High income,0.8403236132618811,5,8.0,3.95,14.0,1.0,0.0,0.05234375,0.8816586691752235,0.9149891975859356,0.7485342291560318,0.8161123571303338,1,0.0384615384615384,60,193,26,62.6,62.7,45.1,56.2,68.1,61.1,82.6,0.7667238421955404,0.7779156327543425,0.5420673076923077,0.5825082508250826,0.9039242219215154,0.6407599309153713,0.9124999999999999,0.7323427409005943,0.8236659692432649,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
AUS,Australia,East Asia & Pacific,High income,0.8368027626289708,6,11.5,4.95,17.0,1.0,0.0,0.0627604166666666,0.8291484874562962,0.9423188888894608,0.806195960811031,0.7695477133590953,1,0.0384615384615384,60,193,26,73.2,68.5,79.6,68.5,66.9,76.4,79.5,0.9485420240137221,0.8498759305210919,0.9567307692307692,0.7854785478547854,0.8876860622462788,0.9050086355785838,0.8640625,0.8853406384921759,0.9138297636908184,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
CUB,Cuba,Latin America & Caribbean ,Upper middle income,0.8359340270302232,7,7.0,2.0,16.099999999999994,1.0,0.0,0.0734374999999999,0.7871430913252367,0.978327822018152,0.6844729033931781,0.8937922913843265,0,0.0,60,193,26,32.3,30.7,6.8,35.4,17.1,46.7,57.3,0.24699828473413374,0.380893300248139,0.08173076923076923,0.23927392739273926,0.21380243572395127,0.3920552677029361,0.5171874999999999,0.2959916407189526,0.6371597313685523,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
DNK,Denmark,Europe & Central Asia,High income,0.8339455876296181,8,11.0,8.0,24.0,1.0,0.0,0.0833333333333333,0.8524434355787608,0.95256787051843,0.728529526762817,0.8022415176584646,1,0.0384615384615384,60,193,26,67.3,67.7,60.4,78.1,59.7,56.9,80.9,0.8473413379073755,0.8399503722084368,0.7259615384615384,0.9438943894389438,0.790257104194858,0.5682210708117443,0.8859375,0.8002233304318424,0.8763956004751361,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
BEL,Belgium,Europe & Central Asia,High income,0.8308187258687971,9,10.5,7.85,27.19999999999999,1.0,0.0,0.1007812499999999,0.9142151453801022,0.9679362773203304,0.6881062591222258,0.7530172216525302,1,0.0384615384615384,60,193,26,61.9,57.5,52.9,57.5,64.3,60.6,78.4,0.7547169811320754,0.7133995037220844,0.6358173076923076,0.6039603960396039,0.8525033829499322,0.6321243523316061,0.846875,0.7199138462668013,0.8439250617935659,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
AUT,Austria,Europe & Central Asia,High income,0.830528220154409,10,7.0,5.9,19.0,1.0,0.0,0.0682291666666666,0.9136190221246516,0.8979830596659448,0.7733998042913311,0.737110994535708,2,0.0769230769230769,60,193,26,57.4,53.3,38.8,47.9,54.0,63.9,86.5,0.6775300171526586,0.6612903225806451,0.4663461538461538,0.44554455445544555,0.713125845737483,0.6891191709844559,0.9734375,0.6609133663938345,0.7794482130298896,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
ISL,Iceland,Europe & Central Asia,High income,0.8197837824330648,11,13.0,6.0,17.0,1.0,0.0,0.0572916666666666,0.7553247390699022,0.91199171686747,0.8111782215564786,0.800640452238409,1,0.0384615384615384,60,193,26,47.6,33.2,32.2,44.8,47.5,46.9,80.7,0.5094339622641509,0.41191066997518616,0.3870192307692308,0.39438943894389433,0.625169147496617,0.39550949913644207,0.8828125,0.5151777783693602,0.7135847476184152,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
FIN,Finland,Europe & Central Asia,High income,0.8177702742189719,12,14.0,10.0,20.0,1.0,0.0,0.0520833333333333,0.7847361384939117,0.9205143361449236,0.7855510164736608,0.7802796057633915,2,0.0769230769230769,60,193,26,72.0,61.6,65.4,81.5,64.1,77.8,81.4,0.9279588336192109,0.7642679900744418,0.7860576923076924,1.0,0.8497970230040595,0.9291882556131259,0.89375,0.8787171135169329,0.8996157248309282,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
