iso3,country,conversion_profile,conversion_efficiency_zscore,baseline_profile,baseline_conversion_efficiency,profile_changed_after_ghs,profile_agreement_after_ghs,efficiency_delta_after_ghs,n,coverage_count,missing_count,missing_rate,source_provenance
NOR,Norway,effective converters,0.8762506077879808,effective converters,0.8819371421389405,False,0.9716981132075472,-0.005686534350959671,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
DEU,Germany,effective converters,0.5893328078256928,effective converters,0.615078253921651,False,0.9716981132075472,-0.025745446095958302,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
SWE,Sweden,effective converters,1.074392961743851,effective converters,1.0869609091047154,False,0.9716981132075472,-0.012567947360864418,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
JPN,Japan,effective converters,1.4516766495231912,effective converters,1.4027544493100577,False,0.9716981132075472,0.04892220021313354,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
FRA,France,effective converters,0.7044474853801079,effective converters,0.7365146975756199,False,0.9716981132075472,-0.03206721219551201,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
AUS,Australia,effective converters,0.47574065922044756,effective converters,0.5395775635134479,False,0.9716981132075472,-0.06383690429300032,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
DNK,Denmark,effective converters,1.3919241197649423,effective converters,1.4369633295580748,False,0.9716981132075472,-0.04503920979313247,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
BEL,Belgium,effective converters,0.36324375245461205,effective converters,0.3690158846965657,False,0.9716981132075472,-0.005772132241953665,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
AUT,Austria,capacity under-realizers,0.10298599339350198,capacity under-realizers,0.1233611947811609,False,0.9716981132075472,-0.020375201387658914,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
ISL,Iceland,effective converters,1.0602991250846427,effective converters,1.0124193151295544,False,0.9716981132075472,0.04787980995508834,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
FIN,Finland,effective converters,1.010761487318908,effective converters,1.095261278939026,False,0.9716981132075472,-0.084499791620118,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
LUX,Luxembourg,effective converters,1.3216478080777536,effective converters,1.2789940158889337,False,0.9716981132075472,0.04265379218881993,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
CZE,Czechia,capacity under-realizers,-0.59674127831019,capacity under-realizers,-0.6262960857776176,False,0.9716981132075472,0.02955480746742767,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
USA,United States,capacity under-realizers,-1.3075125927256643,capacity under-realizers,-1.2162711675864122,False,0.9716981132075472,-0.09124142513925215,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
