iso3,country,conversion_profile,capacity,equity_access,preparedness,vulnerability,weakest_bottleneck_block,weakest_bottleneck_gap,second_bottleneck_block,conversion_efficiency_zscore,realized_resilience_gap,method_disagreement_index,expanded_feature_missing_rate,n_validation_countries,missing_count_from_profile_sample,missing_rate_from_profile_sample,diagnostic_scope,diagnostic_note
BLR,Belarus,capacity under-realizers,0.30393039256496823,0.060766689603379276,0.10365023165705722,-0.06926263580015768,vulnerability,-0.06926263580015768,equity_access,-2.934826273506603,4716.795231999199,0.0885416666666666,0.0769230769230769,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
SVK,Slovak Republic,capacity under-realizers,-0.0035338650491734125,0.0483492825564279,0.025406335349806297,-0.010095770765099488,vulnerability,-0.010095770765099488,capacity,-1.403125347198939,2255.0755413735355,0.0942708333333333,0.0384615384615384,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
USA,United States,capacity under-realizers,0.25769433801232744,-0.05844625820938498,-0.023011225571154093,0.00496859356758228,equity_access,-0.05844625820938498,preparedness,-1.2162711675864122,1954.767168291395,0.1007812499999998,0.0769230769230769,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
HRV,Croatia,capacity under-realizers,-0.0044254432860905135,0.07710802320016363,-0.021699001515466443,-0.01582128259267157,preparedness,-0.021699001515466443,vulnerability,-0.9834110417905212,1580.5189407244347,0.0682291666666666,0.0384615384615384,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
ROU,Romania,capacity under-realizers,-0.05707392299865577,0.02184330314467553,-0.12279242591229067,-0.0723779118272857,preparedness,-0.12279242591229067,vulnerability,-0.9351231409706718,1502.9115734991929,0.0575520833333333,0.0384615384615384,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
COL,Colombia,capacity under-realizers,0.00822281578801154,0.10511931434927613,0.03804836302524861,0.08051835563655674,capacity,0.00822281578801154,preparedness,-0.781604416073713,1256.1792894954178,0.2158854166666666,0.0,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
KWT,Kuwait,capacity under-realizers,-0.20153716956251083,0.10019356508503596,0.02129012462106472,-0.014642152750564907,capacity,-0.20153716956251083,vulnerability,-0.7687710647710952,1235.5537789562768,0.1429687499999999,0.0384615384615384,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
MDV,Maldives,capacity under-realizers,0.19608909304309785,0.10422515576443525,0.11894663927861282,0.11657355017654925,equity_access,0.10422515576443525,vulnerability,-0.67968481209664,1092.376100725436,0.2039062499999999,0.0,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
CZE,Czechia,capacity under-realizers,0.13335755291935703,0.06899581888920436,0.019292140617157894,-0.024296328680240453,vulnerability,-0.024296328680240453,preparedness,-0.6262960857776176,1006.5707867900423,0.03671875,0.0769230769230769,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
ARG,Argentina,capacity under-realizers,0.30789847006456317,0.022205412780815337,0.0,0.01895010037117084,preparedness,0.0,vulnerability,-0.5607786651550956,901.2724732254856,0.171875,0.0384615384615384,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
ARE,United Arab Emirates,capacity under-realizers,-0.2519700147968513,0.02800623291140647,0.06058015868243771,0.07026017931918793,capacity,-0.2519700147968513,equity_access,-0.5549371955598688,891.8841778489033,0.1830729166666666,0.0384615384615384,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
